Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Zambia,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            110.99,,,,,,,,,,,,,,,,,,
Zambia,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             98.08,            128.38,            100.24,            114.25,,,,,,,
Zambia,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             43.94,             28.87,             59.85,             54.98,,,,,,,
Zambia,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            579.42,            699.74,            495.09,            369.83,            550.27,            370.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            296.87,            438.73,            393.29,            364.85,            500.34,            676.80,           1139.17,           1022.59,            847.85,            559.36,            306.17,            439.53,            566.11,            447.57,            202.07,            395.69,            217.48,            232.59,            240.76,            176.31,            189.31,            104.16,,,,,,,,,,
Zambia,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2222.66,           2726.79,           2457.45,           2418.44,           2612.20,           3092.67,           3082.33,           2973.87,           2581.38,           1829.81,           1507.44,           2157.33,           1825.36,           1409.82,           1189.34,           1015.73,            780.67,            815.41,            612.04,            532.27,            352.24,            444.38,            399.72,            301.35,            253.81,,,,,,,
Zambia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2905.42,           3800.13,           3543.32,           2485.55,           2783.33,           4320.44,           3920.34,           3966.89,           4591.26,           3117.94,           1723.06,           2443.45,           1978.19,           1496.29,            755.67,            253.25,             77.36,             57.44,             59.70,            103.66,            136.43,,,,,,,,,,,
Zambia,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            123.95,            123.32,             55.12,,,,,,,,,,,,,,
Zambia,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,             20.77,,,,,,,,,,,
Zambia,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            273.84,            284.71,             98.94,,,,,,,,            102.09,            111.89,            128.86,,,,,,,
Zambia,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            544.26,,,            176.25,            141.04,,,,,,,,,,,,            162.44,,,,,,,,,
Zambia,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            740.23,            595.67,            468.05,,,,,,,,,,            257.21,            312.94,             98.21,            139.64,             67.48,,,,,,            175.71,,,,,,,,,
Zambia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            328.71,,,,,,,            274.44,            256.63,            393.24,            481.62,            394.09,            424.53,            254.95,,,,,,,,,,
Zambia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            133.89,,,            113.29,            318.23,            325.56,             94.97,             97.03,            107.77,             78.55,            125.39,            100.58,,             79.97,             71.01,,,,,,,
Zambia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             40.68,,,,             38.94,,,,,,,,
Zambia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        6685656.04,,        6314915.11,        6312290.49,,        7867460.41,        6331170.18,        5089170.76,        3755292.36,        2405195.86,        2881730.98,        1461762.69,         727341.38,         814508.76,         411210.26,         514962.65,         297076.00,         159202.45,,,,         141681.89,,,,,,,,,
Zambia,World,Animal,Export,Export(US$ Mil),             39.92,             26.40,             18.10,             10.92,              8.49,             10.69,             11.07,             11.07,              9.21,             11.60,             19.35,              6.13,             23.59,              3.49,             13.60,              4.62,              4.67,              8.74,              6.18,              6.75,              4.47,              3.59,              2.02,              1.70,              0.97,,,,,,,
Zambia,World,Capital goods,Export,Export(US$ Mil),            194.26,            182.67,            139.38,            392.85,            168.42,            250.98,            394.14,            208.95,            105.51,             94.77,            105.11,             85.31,             82.08,             81.15,             14.14,             13.08,             11.10,             26.08,             19.29,             12.20,             71.60,             25.70,              7.90,              9.03,             10.52,,,,,,,
Zambia,World,Chemicals,Export,Export(US$ Mil),            343.35,            365.13,            217.30,            162.39,            187.08,            419.06,            645.29,            306.62,            208.23,            112.23,             75.95,             65.10,             90.74,             16.83,             15.82,             43.30,             10.70,             14.55,              9.14,              5.29,              9.54,             14.82,             41.37,              8.71,              2.18,,,,,,,
