Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Egypt, Arab Rep.",Libya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           1277.12,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           1493.34,,,,,,,            278.14,            299.27,            249.33,            249.31,            264.40,            364.76,            166.68,            207.04,,,,,,
"Egypt, Arab Rep.",Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           5030.19,,,           3352.75,,,           3988.78,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1702.15,           1442.30,           1572.72,           1794.30,           2016.46,           1981.65,           1975.23,           1832.80,           1977.69,           1548.99,           1381.56,,,,,,,,,,,            176.29,,,,,,,,,,
"Egypt, Arab Rep.",Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5214.09,           5700.49,           4149.69,,,,,,,           2120.14,,           3102.07,           2238.08,           1424.94,            957.43,,,,            678.67,           1033.43,,,,,,,,,,,,
"Egypt, Arab Rep.",Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,           1621.41,           1588.50,           1483.44,           1037.30,           1035.70,            806.06,            432.52,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1743.46,           2016.22,           1932.88,           1434.55,           1265.34,           1450.64,           1746.08,           1570.18,           1528.78,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3675.59,,,           3314.92,           3290.40,,,,,,           2347.22,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           3152.48,           3861.36,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2069.45,           2012.07,           2758.96,           2878.68,           1106.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            165.71,,,,,,,,
"Egypt, Arab Rep.",United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2216.69,           1734.11,           1375.72,           1145.52,           1225.72,           1129.12,,           2015.47,           1819.39,           1547.14,           1633.88,,,           1195.31,            957.29,            587.71,            520.88,            386.80,            344.59,            399.76,            435.66,            389.64,            447.23,            459.93,            522.07,            364.44,,,,,,
