Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
European Union,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         148036.38,         128909.13,         125930.50,         135220.13,         114441.86,         129301.77,         126288.41,         136915.78,         130709.04,         113691.47,         114186.23,         123510.08,         107702.96,,          84128.44,          78558.74,          68112.37,          59280.16,          57846.52,          58386.85,,,,,,,,,,,,
European Union,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          82316.48,          90483.97,          95133.16,          85590.42,          86907.59,          98387.09,         102283.58,          96259.14,         101283.87,          81348.07,,,,,,,,,,          29331.78,,,,,,,,,,,,
European Union,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          89434.99,          89667.32,          78461.78,          73516.85,          68269.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         494616.72,         472950.37,         418820.45,         399564.84,         408446.99,         409554.68,         379626.84,         372643.71,         360118.26,         314734.72,         284332.08,         365600.78,         356415.91,         335662.97,         311448.25,         293094.29,         257580.58,         234499.46,         219870.67,         219030.01,,,,,,,,,,,,
European Union,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         327230.86,         316760.35,         288565.53,         273504.23,         273012.77,         274711.05,         263112.47,         267312.03,         268232.46,         226430.70,         216471.68,         269715.42,         243533.25,         214429.93,         197770.47,         198569.33,         178851.93,         172746.48,         182078.93,         189829.01,,,,,,,,,,,,
European Union,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,          91401.49,         117740.59,          85906.82,          70785.97,          62364.30,,,          32963.55,,,,,,,,,,,,,,
European Union,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     1497189593.78,     1533370655.18,     1340083938.86,     1272948939.87,     1488990774.93,     1480236105.60,     1769364685.65,     1765526051.02,     1847460703.57,     1328224675.40,     1228812878.79,     1708314019.86,     1307124531.72,     1130425008.58,      934300165.54,      873865584.78,      618996705.23,      506404471.04,      392185399.42,      534990470.52,,,,,,,,,,,,
European Union,World,Animal,Export,Export(US$ Mil),          37757.67,          33859.30,          33441.38,          30330.98,          28275.50,          33413.37,          32130.45,          30772.02,          30631.24,          23861.83,          18951.22,          22797.65,          18615.10,          15227.47,          14822.68,          14745.56,          12399.63,          10887.07,          10543.00,          10980.62,,,,,,,,,,,,
European Union,World,Capital goods,Export,Export(US$ Mil),         833913.04,         842078.50,         780636.49,         715342.14,         718542.30,         816687.77,         820715.02,         794616.92,         795157.32,         672274.12,         585158.78,         746450.01,         659318.63,         563982.28,         520053.26,         463895.38,         379098.04,         324757.65,         318926.21,         314469.64,,,,,,,,,,,,
European Union,World,Chemicals,Export,Export(US$ Mil),         387920.73,         367549.90,         326286.74,         301636.60,         304667.80,         318298.58,         314200.26,         307750.14,         305874.18,         270897.76,         239845.02,         247500.37,         228946.88,         196729.19,         173533.17,         162992.07,         140594.74,         117693.94,         105218.14,          98176.07,,,,,,,,,,,,
European Union,World,Consumer goods,Export,Export(US$ Mil),         797678.06,         813689.82,         756862.73,         683067.37,         699519.97,         802815.53,         801376.09,         767023.99,         732942.54,         604004.00,         505266.44,         637148.37,         566546.82,         487720.71,         423911.69,         383600.67,         328235.89,         279866.91,         246348.98,         237385.29,,,,,,,,,,,,
European Union,World,Food Products,Export,Export(US$ Mil),          94390.48,          93308.72,          87039.52,          79474.77,          77256.83,          86789.41,          84217.75,          79530.16,          75252.15,          62589.41,          54542.56,          59426.24,          54069.24,          47696.94,          41284.81,          37774.78,          34244.63,          29492.54,          26772.29,          25676.09,,,,,,,,,,,,
European Union,World,Footwear,Export,Export(US$ Mil),          13525.66,          13090.36,          11866.59,          10405.78,          10067.28,          11836.21,          11491.50,          10263.04,           9830.37,           7937.16,           7258.79,           9053.82,           8222.18,           7018.25,           6329.23,           6443.64,           5835.63,           5660.93,           5640.41,           5456.01,,,,,,,,,,,,
European Union,World,Fuels,Export,Export(US$ Mil),         117012.95,         135539.79,         112313.51,          82821.32,          94853.04,         145288.79,         162648.86,         163829.32,         141648.55,         105772.82,          77826.87,         120058.55,          88630.95,          76652.64,          58439.24,          42498.13,          31002.28,          24732.59,          23151.08,          27064.90,,,,,,,,,,,,
European Union,World,Hides and Skins,Export,Export(US$ Mil),          23024.60,          21058.10,          19480.24,          17325.60,          18211.59,          20407.32,          21721.59,          19626.32,          18732.88,          14596.99,          11400.24,          14105.75,          12892.92,          11950.97,          10243.34,           9751.59,           8329.45,           7327.73,           7425.30,           7052.66,,,,,,,,,,,,
European Union,World,Intermediate goods,Export,Export(US$ Mil),         471871.79,         480734.56,         420763.64,         380894.40,         415485.10,         463314.13,         505807.34,         438042.17,         469685.52,         375836.56,         325117.79,         394667.70,         350858.92,         301181.49,         270217.97,         234397.08,         193819.59,         165390.06,         149486.92,         148997.82,,,,,,,,,,,,
European Union,World,Mach and Elec,Export,Export(US$ Mil),         570726.72,         576761.04,         536065.32,         485542.12,         493158.37,         574834.57,         579419.62,         566109.05,         586084.69,         496033.83,         440346.37,         562748.74,         503138.50,         426529.63,         387998.26,         347139.96,         284554.11,         243026.87,         245117.62,         244115.47,,,,,,,,,,,,
European Union,World,Metals,Export,Export(US$ Mil),         124450.54,         132202.49,         120476.91,         104207.69,         113556.69,         140993.53,         142876.48,         147115.19,         152077.18,         125953.52,         104995.77,         143269.11,         125375.03,         104136.48,          86280.60,          72698.25,          54608.58,          44807.03,          42189.00,          42258.93,,,,,,,,,,,,
European Union,World,Minerals,Export,Export(US$ Mil),           8886.54,           9490.33,           8372.39,           6600.00,           7094.47,           8583.91,           8621.58,           8532.11,           8619.27,           6879.27,           5485.76,           6743.99,           5697.59,           4942.17,           4147.52,           3349.69,           2943.16,           2557.24,           2308.52,           2378.56,,,,,,,,,,,,
European Union,World,Miscellaneous,Export,Export(US$ Mil),         232491.65,         224193.08,         210632.11,         195966.48,         192236.73,         207698.43,         199440.84,         190457.06,         178987.23,         155742.94,         222691.67,         286429.22,         221274.47,         188839.39,         168731.45,         164820.24,         134620.58,         114854.88,          72700.91,          70146.04,,,,,,,,,,,,
European Union,World,Plastic or Rubber,Export,Export(US$ Mil),          82995.51,          87515.45,          82266.60,          74357.93,          74995.58,          87611.71,          86637.63,          83956.72,          83984.46,          72033.64,          56726.91,          66281.14,          60810.49,          51872.25,          45827.20,          40423.51,          32774.17,          26824.49,          26007.79,          26301.05,,,,,,,,,,,,
European Union,World,Raw materials,Export,Export(US$ Mil),          92999.81,          93788.90,          87756.48,          79393.97,          79494.01,          95025.09,         102434.58,         100523.68,         103577.38,          84165.38,          65785.06,          83546.31,          70743.60,          60061.31,          54869.20,          48899.45,          41849.99,          37309.93,          32698.19,          35927.25,,,,,,,,,,,,
European Union,World,Stone and Glass,Export,Export(US$ Mil),          99709.84,         104983.57,          86464.07,          83208.08,         108102.64,         119836.94,         165160.64,          97788.13,         125992.24,          80683.75,          54369.21,          82228.96,          68446.31,          58517.96,          59192.98,          48925.40,          40788.46,          39875.45,          38255.86,          39280.22,,,,,,,,,,,,
European Union,World,Textiles and Clothing,Export,Export(US$ Mil),          59184.83,          58967.06,          53944.05,          49456.69,          49252.71,          57129.16,          55605.56,          53112.71,          53990.12,          45271.13,          40388.78,          50809.44,          47739.65,          41806.72,          38963.62,          38403.48,          34095.24,          30088.36,          29970.78,          29212.36,,,,,,,,,,,,
European Union,World,Transportation,Export,Export(US$ Mil),         337678.84,         359781.08,         345888.17,         326253.37,         328356.79,         352790.77,         349994.20,         330154.88,         314702.42,         258832.15,         197016.32,         270242.11,         240828.45,         205781.59,         195080.06,         166266.49,         142971.56,         123528.67,         120706.36,         115807.99,,,,,,,,,,,,
European Union,World,Vegetable,Export,Export(US$ Mil),          37149.89,          35468.89,          34561.36,          34896.71,          35639.26,          39919.59,          40920.20,          35042.04,          34911.57,          28619.97,          24643.79,          30969.32,          22623.53,          18076.87,          16233.75,          15341.76,          14874.18,          12661.08,          10764.26,          11599.93,,,,,,,,,,,,
European Union,World,Wood,Export,Export(US$ Mil),          52614.82,          55126.15,          51640.45,          47568.47,          48065.94,          55524.07,          56569.26,          55050.68,          56499.74,          50278.46,          43644.52,          53398.57,          50011.58,          44214.76,          38714.76,          38105.15,          32004.37,          27272.07,          24875.12,          25542.83,,,,,,,,,,,,
European Union,World,All Products,Export,Exports (in US$ Mil),        2279521.29,        2308895.30,        2120739.38,        1930052.58,        1983791.22,        2260956.35,        2311656.43,        2179089.56,        2177818.29,        1805984.62,        1600133.81,        2026062.97,        1757322.86,        1499993.29,        1345822.65,        1209679.68,        1006640.77,         861290.94,         791646.44,         781049.75,,,,,,,,,,,,
European Union,World,Capital goods,Import,Import(US$ Mil),         665105.82,         670710.16,         608340.64,         553324.40,         543459.66,         559264.09,         538830.41,         539840.78,         572737.27,         545687.29,         451114.77,         571491.46,         529814.89,         471647.33,         437441.09,         389620.18,         325238.59,         277722.17,         284544.79,         309915.99,,,,,,,,,,,,
European Union,World,Consumer goods,Import,Import(US$ Mil),         702833.02,         710991.20,         641349.55,         587856.55,         598713.18,         685422.30,         670656.57,         662143.91,         696395.44,         590856.26,         528961.90,         636056.53,         579694.18,         501848.73,         425605.93,         372249.33,         315802.45,         256354.95,         231238.01,         228116.56,,,,,,,,,,,,
European Union,World,Intermediate goods,Import,Import(US$ Mil),         466038.42,         440027.29,         409056.88,         391867.46,         368610.44,         401869.22,         383873.60,         423133.39,         448751.51,         365874.34,         313045.61,         422199.19,         387428.86,         311105.99,         247651.36,         225454.06,         187882.41,         159524.71,         150235.74,         150855.75,,,,,,,,,,,,
European Union,World,Raw materials,Import,Import(US$ Mil),         413800.28,         454249.73,         377246.16,         303593.84,         350908.67,         532991.79,         578408.56,         618488.30,         618882.98,         466602.63,         364557.97,         599986.11,         451183.96,         396902.28,         333821.51,         253945.93,         198031.10,         163809.05,         159159.27,         171737.07,,,,,,,,,,,,
European Union,World,All Products,Import,Imports (in US$ Mil),        2301483.91,        2340103.46,        2090461.55,        1886842.16,        1918103.66,        2247834.69,        2242512.01,        2317660.24,        2413811.62,        2034310.56,        1757279.44,        2386983.87,        2020311.76,        1786694.98,        1515272.77,        1301923.94,        1082281.70,         917510.60,         876782.38,         913277.73,,,,,,,,,,,,
European Union,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,China,All Products,Export,Partner share(%)-Top 5 Export Partner,     10.95,     10.69,     10.42,      9.66,      9.46,      9.61,      8.46,      8.47,      8.67,      8.27,      7.19,      5.70,      5.61,      5.34,      4.77,      4.97,      4.66,      3.85,      3.47,,,,,,,,,,,,,
European Union,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     20.44,     19.93,     20.22,     20.62,     20.26,     17.84,     16.56,     16.18,     16.99,     18.46,     17.08,     15.38,     15.88,     13.77,     13.20,     12.34,     11.14,      9.30,      8.37,      7.52,,,,,,,,,,,,
European Union,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,      4.47,      4.61,      4.77,      5.14,      5.35,,,,,,,,,,,,
European Union,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,      4.36,,,      5.38,      5.51,      6.09,      7.16,      7.59,      7.60,      8.29,      9.28,,,,,,,,,,,,
European Union,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,      3.11,,,,,,,,,,,,
European Union,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,      4.24,      4.47,      4.52,      4.52,,      5.47,      5.92,,      5.57,,,,,,,,,,,,,,,,,,
European Union,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,      4.42,      4.31,      4.55,      4.12,      4.10,      6.02,      6.83,      7.24,      6.90,      6.28,      5.73,      7.64,      6.97,      6.07,      5.23,      4.74,      4.19,,      3.57,,,,,,,,,,,,,
European Union,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,      7.06,      7.71,      7.07,      6.30,      7.05,      9.90,     11.27,     11.02,     10.70,      9.71,      9.48,     11.14,      9.97,     10.03,      9.34,      8.11,      7.45,      6.71,      6.73,      6.42,,,,,,,,,,,,
