Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mexico,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           3768.25,,,,,,,,,,,,,           1172.40,           1192.40,,           1114.59,            775.21,,           1014.43,           1242.40,            979.29,            923.30,            704.97,            845.53,           1229.78,           1442.24,,
Mexico,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17958.03,          18188.55,          18185.99,          17751.12,          17367.98,          17544.72,          17076.12,          17655.21,          16493.50,          15014.69,          11397.11,          16282.45,          16342.98,          15295.16,          13077.78,          10582.96,           7594.57,           9347.72,           8085.24,           6463.40,           5081.02,           4534.73,           4466.47,           3836.69,           3950.98,           4778.30,           3056.52,           2819.03,           2061.40,           1283.06,,
Mexico,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17645.85,          16724.50,          15756.44,          13610.29,          14618.03,          13771.10,          13492.97,          13340.97,          13663.76,          12730.68,          10946.19,          13527.29,          12613.70,          10621.41,           6495.91,,,,,,           2780.22,           1822.40,           1641.17,           1059.37,,,,,,,,
Mexico,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            331.06,,
Mexico,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           4665.58,           4234.96,,,           5786.30,           6961.80,           7023.93,           4904.70,           3830.92,           2507.83,           4232.90,           3689.80,           3270.12,           2954.03,           1962.85,           1467.62,           1446.35,           1302.68,           1545.69,            821.91,,            947.19,            952.64,            788.92,            869.79,            876.19,           1233.66,           1183.96,           1439.71,,
Mexico,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1172.28,,,,,
Mexico,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            590.33,,
Mexico,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         358660.83,         356892.80,         327215.24,         302904.37,         309169.48,         318652.63,         299486.78,         288178.65,         274720.11,         238858.91,         185448.52,         233793.95,         223387.84,         212131.77,         183837.71,         166533.18,         144696.72,         137963.06,         136373.54,         146599.59,         120455.06,         101926.63,          93018.73,          79771.34,          66338.81,          51198.16,          42935.37,          37284.31,          18738.20,          18494.04,,
Mexico,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         206142.14,         216270.20,         194978.44,         179910.18,         187298.64,         195856.16,         187758.44,         185683.87,         174878.47,         145450.40,         112788.74,         151746.43,         139930.56,         130809.82,         118973.10,         111262.25,         105723.45,         106899.86,         114059.68,         127689.98,         105375.82,          93306.94,          83214.06,          67615.40,          53973.14,          54812.85,          48321.17,          45721.06,          24652.29,          19848.49,,
Mexico,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          18258.72,,,,,,,,,,,,,,,,,           3897.15,           2737.14,,,,,,,,,,,,,
Mexico,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           5382.68,,,,,,,,,,,,
Mexico,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,      385663734.72,      348949027.57,      185782348.58,      190831534.17,      337560125.52,      187086212.42,      180499284.00,      166456230.76,      136190630.42,      183483162.47,      244688180.07,      203047479.10,      183795908.93,      161515849.14,      146813638.35,       15182104.12,       57499215.76,       11274314.25,       11211677.14,        1110655.05,       14448793.28,       12111993.76,        9768564.25,       14766725.99,,,,        2260648.74,,,
Mexico,World,Animal,Export,Export(US$ Mil),           4514.72,           4275.70,           3844.56,           3442.47,           3663.23,           3465.51,           2842.84,           2867.30,           2780.60,           2036.90,           1726.38,           1701.46,           1751.77,           1729.55,           1515.77,           1455.73,           1326.43,           1174.26,           1285.46,           1341.06,           1118.84,           1089.27,           1131.06,            993.37,           1285.21,            867.04,            908.42,            717.83,            787.31,            729.43,,
Mexico,World,Capital goods,Export,Export(US$ Mil),         216655.58,         206306.42,         188570.51,         176880.74,         177142.49,         172286.17,         159786.39,         151740.06,         135580.24,         120458.53,          89873.75,         105869.28,          96390.97,          96231.47,          85288.44,          79177.27,          69546.41,          67636.11,          67179.20,          67777.39,          55640.60,          44720.88,          38884.17,          31868.92,          25765.84,          20042.28,          15841.17,          13628.00,           4348.29,           3847.33,,
Mexico,World,Chemicals,Export,Export(US$ Mil),           9357.25,           9379.89,           8892.74,           8746.34,           9450.64,           9934.18,          11378.71,          11327.66,          10265.76,           8878.49,           7802.35,           8750.70,           7806.45,           6893.66,           6260.19,           5575.30,           4814.33,           4787.00,           4680.59,           4617.39,           3887.70,           3659.86,           3596.64,           3292.11,           3328.89,           2324.98,           2029.97,           1977.16,           1763.51,           1512.98,,
Mexico,World,Consumer goods,Export,Export(US$ Mil),         132978.79,         130418.31,         119443.84,         104993.33,         111239.42,         109383.50,         114026.18,         106286.97,         102873.01,          94593.39,          77875.80,          98088.06,          89754.73,          84588.44,          71139.01,          62588.28,          58239.37,          61202.28,          61238.54,          63807.88,          53599.72,          48319.00,          42392.85,          36024.88,          28804.78,          22839.42,          19543.86,          16069.97,           7015.67,           5352.07,,
