Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Spain,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          24523.33,          25172.53,          22615.93,          19956.19,          19815.31,          23577.91,          23220.26,          19608.56,          23921.86,          21973.47,          20526.61,          24669.30,          21947.46,          19056.49,          18456.10,          17836.51,          14967.44,          12807.48,          11836.89,          10619.36,          11168.08,          10294.58,           9632.58,           8922.09,           7485.70,           5694.36,           4422.63,           4836.01,           3968.82,           3369.29,,
Spain,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          22016.85,          21961.68,          21146.61,          22219.74,          20200.82,          22095.90,          20932.60,          17548.28,          18835.40,          15238.34,          14082.91,          19743.92,          19582.60,          17054.73,          16201.57,          16500.20,          14585.31,          12150.45,          10485.67,           9424.58,           9308.19,           9201.21,           9298.91,           8425.82,           7160.83,           6016.45,           5021.01,           4925.76,           4621.00,           5000.59,           4433.37,
Spain,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,          14908.68,,,,          14298.00,          13818.04,          19244.95,          19416.33,          16688.42,          16454.57,          15915.76,          13368.65,          10823.89,          10895.79,          10736.75,          11042.74,          10359.11,          10108.26,          10195.35,           8812.31,           7259.64,           5931.70,           7282.33,           7026.48,           6277.43,           4639.35,
Spain,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           3278.61,
Spain,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,          15314.53,          14328.02,          14225.07,,          13571.60,,          14695.91,,,,,,,,,           6819.89,           7044.18,           8034.14,           8136.87,           7693.58,           7792.52,           7609.02,           7526.54,           6750.14,           5819.32,           7380.79,           7434.87,           7327.39,           6462.77,
Spain,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          19192.10,          15831.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      108572815.99,      118593856.79,       99618754.86,       92141660.92,      114801725.54,      114142536.80,      129851441.72,      130516656.46,      134812153.41,       98415508.28,       90035461.95,      140791422.31,      104016949.11,       92121544.07,       71666784.04,       62249746.83,       44698044.32,       35161260.67,       24796971.00,       34767237.25,,,,,,,,,,,,
Spain,World,Animal,Export,Export(US$ Mil),          13819.06,          12732.77,          12183.06,          11183.70,          10182.72,          11046.85,          10415.69,           9955.58,           9891.18,           8247.89,           7878.54,           8778.15,           7416.80,           6343.43,           5966.71,           5596.07,           4649.16,           3727.40,           3652.82,           3247.38,           3219.32,           2884.09,           2941.18,           2778.89,           2157.38,           1687.47,           1213.61,           1181.57,           1047.68,           1116.84,           1035.16,
Spain,World,Capital goods,Export,Export(US$ Mil),          67426.07,          69431.29,          64635.45,          60085.84,          56938.97,          65103.12,          66148.63,          57972.21,          62386.93,          52669.70,          48813.79,          62957.36,          61322.64,          53268.23,          48055.95,          44557.99,          37092.26,          29551.65,          27701.95,          28013.13,          28896.30,          27755.08,          25812.94,          25106.76,          20540.98,          16998.71,          14185.22,          15455.71,          13728.07,          12888.12,          10131.13,
Spain,World,Chemicals,Export,Export(US$ Mil),          35139.90,          34977.54,          31901.52,          29228.07,          29254.28,          33115.91,          32688.96,          29818.03,          29766.07,          27926.04,          24427.79,          27537.99,          24399.28,          19735.21,          18194.07,          15563.13,          13675.55,          10920.27,           8924.66,           7985.26,           7695.26,           7040.10,           6556.13,           6183.16,           5590.30,           4561.78,           3686.99,           3750.36,           3488.12,           3382.34,           3014.71,
