Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Rwanda,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             97.95,            104.09,             80.20,             95.65,            106.04,             62.92,             39.30,             83.10,            126.29,             34.29,             30.15,             32.98,             23.70,             20.77,             19.31,             25.21,,             33.51,             27.19,             36.13,              2.86,,,,,,,,
Rwanda,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            278.45,            175.72,            155.75,            145.66,            142.33,            173.80,            126.81,            127.01,            119.51,            127.88,            123.90,            146.34,             93.89,            170.89,             50.51,             38.84,             29.82,             30.68,             26.96,,             54.55,             71.67,             64.62,             42.17,,,,,,,,
Rwanda,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              6.53,,,,,,,,,,,,,,
Rwanda,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             39.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             37.75,             28.83,             23.29,             29.60,,,,,,,,,,,,,
Rwanda,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              6.31,,,,,              0.44,,,,,,,,
Rwanda,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             53.73,             88.76,             86.46,             61.42,             56.53,             77.14,            113.97,             74.81,             75.46,             54.37,,,             13.32,             13.16,             10.84,              3.40,,              7.40,              4.47,,              1.56,              0.94,,,,,,,,,,
Rwanda,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             12.16,              4.08,,              6.03,,              7.76,              3.84,              4.96,              2.34,,,,,,,,
Rwanda,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            269.66,,,,,,,,,,             54.63,,,             28.36,             22.02,,,,,,             14.29,             14.44,             15.75,             13.16,,,,,,,,
Rwanda,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             52.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             61.20,,,,,,,,,,,,,,,             38.43,             13.71,,,,,,,              1.06,,,,,,,,
Rwanda,Uganda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            241.55,            206.30,            181.77,            211.52,            238.07,            205.99,            180.26,            190.25,            154.99,            143.05,            176.29,            106.67,             73.74,             49.48,             23.36,             14.20,,,,,             13.00,             16.27,,,,,,,,,
Rwanda,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            344.27,             46.26,,             67.04,             27.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            244.08,            277.64,            290.58,            307.96,            247.41,            214.52,            187.97,             87.11,             95.87,             76.96,             69.47,             91.68,             53.28,             38.16,             33.54,,,,,,             18.04,             17.30,             17.27,             14.36,,,,,,,,
Rwanda,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             44.09,,,,,,,,,,,             34.41,             29.50,             28.15,              7.47,              3.10,,,,,,              1.73,,,,,,,,,
Rwanda,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             23.82,             30.99,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             15.86,,,,,,,,,,,,,
Rwanda,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        1454874.07,        1250079.16,,        1083773.92,        1124816.02,         948438.13,         941756.04,         938963.34,         836553.25,         771876.33,         680963.06,         411722.06,,         186390.04,         167646.89,,          19453.42,          32676.39,          40556.37,,,,,,,,,,,,,
Rwanda,World,Animal,Export,Export(US$ Mil),             17.03,             17.41,             12.69,             10.83,             12.76,             12.24,             10.69,              0.22,              6.17,              6.72,              2.89,              3.78,              2.34,              0.30,              0.47,              0.18,              0.14,,              0.07,,              0.00,              0.00,              0.01,              0.00,,,,,,,,
Rwanda,World,Capital goods,Export,Export(US$ Mil),             28.01,             32.78,             12.30,             13.82,             24.99,             16.87,             34.23,             11.14,              9.29,              7.31,             34.18,              8.68,              9.92,              5.87,             11.27,              2.60,              2.70,             11.91,              2.64,,              0.03,              0.18,              0.05,              0.70,,,,,,,,
Rwanda,World,Chemicals,Export,Export(US$ Mil),             16.07,             12.96,             10.33,              8.23,              5.60,              4.86,              4.54,              2.43,              3.51,              2.27,              1.84,              1.97,              2.44,              1.03,              0.83,              0.23,              0.23,              0.21,              0.25,,              0.17,              0.09,              0.17,              0.05,,,,,,,,
