Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sudan,World,Capital goods,Export,Export(US$ Mil),,             50.51,              6.78,             27.80,              1.94,              3.97,,              5.85,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Chemicals,Export,Export(US$ Mil),,             11.70,             14.55,             14.05,             10.41,             42.67,,             76.97,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Consumer goods,Export,Export(US$ Mil),,            107.96,            214.88,            157.81,            138.82,            210.41,,             15.57,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Food Products,Export,Export(US$ Mil),,             40.69,             84.01,            134.68,             98.12,            114.33,,             47.58,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Footwear,Export,Export(US$ Mil),,              0.07,              0.02,              0.10,              0.14,              0.12,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Fuels,Export,Export(US$ Mil),,            509.49,            548.82,            424.33,           3000.50,           3111.97,,              0.86,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Hides and Skins,Export,Export(US$ Mil),,             16.29,             24.69,             69.24,             33.17,             42.96,,             36.47,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Intermediate goods,Export,Export(US$ Mil),,           1044.87,           1679.03,           1643.72,            834.11,           1730.09,,           1993.11,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Mach and Elec,Export,Export(US$ Mil),,              7.90,,              1.18,              0.75,              1.94,,              1.61,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Metals,Export,Export(US$ Mil),,             22.69,             31.11,             88.83,             23.65,             21.53,,             22.24,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Minerals,Export,Export(US$ Mil),,              1.73,              3.18,              1.61,              4.05,             25.68,,              3.07,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Miscellaneous,Export,Export(US$ Mil),,              4.82,              0.11,              0.52,              0.33,              1.51,,              0.62,,,,,,,,,,,,,,,,,,,,,,,,
