Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         387380.51,         411314.19,         372320.40,         335243.68,         332790.42,         411141.86,         416499.83,         391933.10,         407805.27,         338456.67,         297012.08,         389585.85,         353387.19,         300324.52,         262588.68,         239041.72,         194096.98,,         152122.03,         163462.38,,,,,,,,,          49069.64,          47371.33,          37457.04,          30768.10
,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,         365268.21,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         420476.36,         426242.88,         403843.81,         405130.21,         387864.22,         440341.71,         430034.09,         430645.82,         415463.89,         362388.14,         330990.04,         451270.04,         419166.41,         361581.56,         329078.61,         316266.38,         266756.13,         235222.00,         219295.43,         213064.71,         197066.94,         175648.92,         173358.75,         165070.92,         155679.88,         129238.35,          81236.98,          79262.08,          48298.25,          54051.22,          49651.02,          39208.24
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,         167557.53,         167395.01,         175736.36,         163161.14,         149157.98,         145114.10,         142288.42,         131276.32,         106017.70,          65703.18,          74667.12,,,,          24181.73
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         566623.42,         543567.24,         483819.27,         457769.56,         462261.72,         469723.13,         443183.09,         437317.93,         430510.33,         372887.97,         327765.34,         424855.73,         400425.28,         380895.81,         347530.42,         325185.29,         285578.92,         258058.87,         239819.12,         240764.50,         209885.20,         188865.70,         169707.36,         154947.62,         139131.50,         124959.17,          77779.03,,,          43188.97,          38512.14,          32802.87
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         416504.91,         408082.86,         379809.11,         360074.32,         358884.42,         379044.60,         373393.38,         374855.42,,         316574.35,         294884.04,         366311.45,,         284838.10,         247032.30,         236599.78,         208725.94,         197040.24,         209151.09,         219992.18,         191534.60,         185519.40,         176661.24,         158391.08,         146420.62,         124400.27,          84001.93,          64985.29,          44740.26,          42971.36,          37708.20,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     2124457307.29,     2168946560.23,     1966287174.25,     1887782084.68,     2123784700.67,     1980992981.32,     2436455115.54,     2386498668.43,     2521776759.71,     1909247259.01,     1671764955.28,     2310838601.18,     1769027966.00,     1487472617.81,     1242862868.99,     1138801694.63,      901765686.37,      753032841.54,      593273510.23,      727787823.50,      170263335.40,      153280302.51,      138850608.35,      141747394.71,       49164767.31,        7638948.82,       79388559.07,        4325113.98,        7524948.20,       59673660.96,       11881057.36,       61369523.48
,World,Animal,Export,Export(US$ Mil),         181529.96,         181579.51,         173123.51,         156859.96,         150943.48,         182515.17,         178615.68,         162053.01,         167046.70,         140796.53,         129179.44,         143689.69,         123601.14,         104901.40,          97353.51,          89488.34,          75786.68,          62669.07,          60680.07,          59325.43,          62211.88,          58582.27,          59598.79,          62658.86,          62254.33,          54141.18,          37654.92,          35798.31,          17725.46,          16368.07,          14746.98,           8547.74
,World,Capital goods,Export,Export(US$ Mil),        2078202.61,        2117104.87,        1938943.54,        1787211.18,        1756466.63,        1973759.89,        1926621.54,        1843206.95,        1933007.47,        1651180.68,        1459976.96,        1956779.18,        1781705.92,        1577583.73,        1377523.56,        1274713.81,        1059947.35,         914411.04,         877498.28,         872651.13,         833470.74,         796816.66,         740887.71,         717141.01,         669429.53,         535617.13,         323943.78,         280957.27,         203984.01,         203329.14,         170320.97,         140026.83
,World,Chemicals,Export,Export(US$ Mil),        1009498.77,         999332.66,         892600.48,         825096.38,         819700.64,         909575.66,         897821.31,         869791.43,         885855.96,         779721.96,         715868.09,         799636.52,         709258.82,         611477.08,         549563.56,         500876.80,         421858.18,         351402.07,         299592.67,         275434.35,         271867.73,         240353.72,         228453.36,         221294.03,         206454.34,         170856.80,         107914.20,          90397.85,          60312.47,          59821.45,          52402.70,          44864.04
,World,Consumer goods,Export,Export(US$ Mil),        2702048.91,        2786147.49,        2538283.13,        2316124.16,        2372862.35,        2772944.33,        2735166.44,        2591711.52,        2636892.19,        2206178.15,        1984012.21,        2507778.86,        2182354.42,        1878644.04,        1649319.59,        1484814.46,        1252704.44,        1041950.12,         938644.58,         900564.52,         845490.00,         786634.28,         763975.38,         746159.79,         683918.36,         576543.00,         338463.66,         310984.21,         206483.47,         209357.24,         172793.03,         127409.68
,World,Food Products,Export,Export(US$ Mil),         317538.30,         323155.81,         300122.82,         275961.83,         268951.08,         304413.02,         296928.07,         273578.20,         271183.02,         231455.62,         222115.23,         242319.14,         209273.62,         177065.49,         159842.91,         148624.58,         129694.42,         108706.16,          97197.18,          92846.58,          98996.40,          93394.74,          94568.18,          98491.88,          92125.84,          78665.88,          46548.45,          38761.29,          18878.91,          18331.18,          15295.48,           9307.00
,World,Footwear,Export,Export(US$ Mil),          62335.06,          62667.09,          56726.16,          51175.16,          48047.13,          54092.73,          50036.14,          44413.70,          47145.43,          38846.13,          36131.51,          41044.21,          37328.00,          32994.34,          29970.10,          29111.81,          26126.35,          23099.91,          22003.94,          20639.38,          21518.01,          20739.18,          21072.31,          21958.37,          20364.95,          18181.31,           7164.45,           6452.84,           4900.03,           4945.72,           4064.76,           2272.25
,World,Fuels,Export,Export(US$ Mil),         672047.82,         745829.45,         591334.95,         462568.97,         602245.53,         947651.03,        1040543.21,        1046516.14,        1002464.40,         718759.06,         551297.23,         916197.76,         622351.46,         562765.99,         452127.51,         325320.40,         242527.39,         193789.81,         183298.27,         195513.86,         120001.63,          99413.67,         132441.73,         132905.94,          75607.91,          67422.59,          53539.70,          26097.81,          11054.50,          11894.81,          10656.00,           4940.93
,World,Hides and Skins,Export,Export(US$ Mil),          48098.42,          48144.57,          44952.02,          40867.43,          41799.40,          47022.84,          47027.01,          41947.37,          41513.00,          32810.75,          27579.63,          34990.70,          32940.72,          29363.63,          25677.22,          24734.76,          21990.54,          19658.27,          18894.24,          17454.65,          15736.34,          16288.35,          17640.77,          18514.83,          16558.82,          14595.74,           6349.24,           6128.09,           4177.24,           4704.75,           4608.75,           2812.43
,World,Intermediate goods,Export,Export(US$ Mil),        1646468.10,        1730934.22,        1561309.60,        1404349.81,        1446201.88,        1658454.52,        1751333.09,        1644780.93,        1620048.63,        1339095.35,        1137937.89,        1542718.72,        1393344.24,        1168001.14,        1004762.53,         920517.41,         743548.99,         624250.89,         578713.18,         578877.55,         550493.14,         524028.13,         515796.86,         519075.05,         494035.38,         400138.47,         242928.63,         223375.89,         153945.42,         159936.17,         144142.73,         117445.57
,World,Mach and Elec,Export,Export(US$ Mil),        1496156.65,        1531932.34,        1396394.10,        1278837.50,        1269741.04,        1450771.26,        1416466.13,        1369161.76,        1469323.64,        1273654.71,        1140930.36,        1514635.06,        1392368.65,        1247132.25,        1084114.25,         989387.55,         820991.05,         714890.84,         700995.75,         705055.86,         673356.92,         642506.93,         604134.76,         582382.89,         540342.03,         428830.96,         261418.70,         222729.50,         162765.73,         162553.19,         134141.97,         113137.41
,World,Metals,Export,Export(US$ Mil),         548755.99,         615178.70,         546874.84,         459993.84,         483162.87,         585336.02,         583915.47,         598032.89,         656650.62,         535187.09,         433699.15,         700538.21,         625082.09,         506247.17,         404748.97,         360952.21,         262755.24,         215589.35,         203466.34,         205830.80,         195560.50,         194500.24,         196663.92,         192552.87,         180596.91,         140616.85,          81022.50,          73549.15,          52524.48,          55568.83,          51300.88,          38156.99
,World,Minerals,Export,Export(US$ Mil),          42855.27,          46814.62,          41899.20,          31870.52,          33519.83,          43893.36,          45595.48,          45689.32,          47305.73,          34778.66,          26353.50,          38410.09,          30698.52,          25861.97,          21659.94,          17823.71,          13448.02,          11271.00,          10512.34,          10830.56,          11067.24,          10765.45,          11368.43,          11374.43,           9741.58,           8137.60,           5542.40,           4930.06,           2850.84,           3359.53,           3224.27,           1519.02
,World,Miscellaneous,Export,Export(US$ Mil),         666729.27,         685897.47,         612968.84,         577989.75,         555288.58,         617772.83,         609858.99,         588172.90,         664840.37,         614033.49,         568890.49,         694797.98,         614725.06,         491636.26,         433245.83,         435555.90,         361611.56,         291439.88,         291622.54,         292737.25,         211825.54,         188040.89,         192155.02,         200076.69,         182922.90,         146166.55,         106087.47,          86489.24,          61151.30,          60411.03,          49089.37,          41215.66
,World,Plastic or Rubber,Export,Export(US$ Mil),         336174.89,         359351.71,         332704.27,         296125.87,         295506.80,         342294.86,         338043.15,         318356.88,         339681.70,         280567.52,         239756.40,         302004.52,         289078.72,         243828.64,         213676.42,         191797.56,         156645.77,         128354.95,         118290.92,         117671.07,         116563.12,         104112.04,         101269.25,         101093.09,         100264.32,          79869.68,          46324.30,          45292.34,          29674.66,          29881.42,          25570.14,          21610.57
,World,Raw materials,Export,Export(US$ Mil),         622443.39,         669191.77,         571575.82,         491216.07,         518421.25,         726593.71,         765971.91,         767231.57,         771774.55,         606542.28,         483890.60,         702084.10,         535302.89,         458348.52,         396016.62,         328297.61,         257945.05,         215461.60,         197419.29,         203049.07,         169563.99,         142794.48,         161865.80,         169240.83,         140659.95,         122236.66,          82125.85,          58845.33,          32331.52,          31715.19,          29144.96,          13834.04
,World,Stone and Glass,Export,Export(US$ Mil),         303248.74,         297621.44,         281144.79,         283256.92,         293093.93,         318230.07,         428814.65,         327810.39,         224015.14,         173189.76,         141143.51,         180438.97,         165671.24,         141382.48,         123892.60,         119053.58,          99864.92,          92423.58,          81636.32,          85625.50,          79491.21,          65775.49,          62428.06,          63152.50,          61280.13,          54313.09,          28148.34,          22340.89,          18238.93,          18548.72,          15877.07,          12880.70
,World,Textiles and Clothing,Export,Export(US$ Mil),         251488.30,         255277.84,         234771.93,         216097.18,         210071.12,         239789.42,         227937.34,         211971.08,         226594.14,         194622.16,         185223.49,         224764.01,         214428.23,         190804.73,         180740.91,         179327.94,         160076.97,         137009.17,         128816.24,         127053.50,         133179.41,         130702.59,         133496.08,         126246.27,         121820.44,         103666.20,          55750.28,          55445.14,          39272.64,          41280.87,          34341.85,          25095.12
,World,Transportation,Export,Export(US$ Mil),         974072.48,        1003666.61,         947083.11,         890297.29,         852251.12,         903766.02,         851612.68,         800413.64,         829639.64,         699496.74,         601932.56,         831782.97,         775951.14,         653983.47,         589513.76,         564429.63,         477427.47,         399721.99,         355885.04,         338967.93,         342205.69,         315312.26,         281241.31,         275693.66,         255224.32,         208389.00,         123646.34,         120715.01,          90059.87,          90130.81,          76325.16,          58809.24
,World,Vegetable,Export,Export(US$ Mil),         199202.32,         214740.48,         203268.17,         190051.03,         185338.04,         207763.07,         209840.06,         196761.23,         190369.93,         152875.71,         145572.89,         170810.65,         132830.85,         105433.21,          95386.51,          87423.63,          78922.43,          64601.11,          56833.74,          54864.77,          62228.29,          59194.21,          59251.98,          62849.69,          59611.74,          49870.88,          29222.84,          30759.74,          15283.11,          14916.57,          13259.81,           4768.90
,World,Wood,Export,Export(US$ Mil),         207494.92,         225100.63,         202786.70,         188883.65,         187295.17,         217936.76,         214373.44,         204453.85,         220673.67,         197842.75,         180644.12,         225375.29,         214677.43,         184202.11,         168224.17,         161423.31,         140716.52,         119214.91,         110217.42,         111928.00,         107091.12,         103360.04,         100327.26,         102145.19,         105055.07,          80452.40,          49275.76,          49130.73,          30837.59,          32410.99,          28158.83,          23562.45
,World,All Products,Export,Exports (in US$ Mil),        7317227.16,        7596290.94,        6858755.89,        6225933.27,        6296955.76,        7372824.11,        7437428.82,        7099123.80,        7284303.08,        6098638.66,        5346317.58,        7061435.76,        6190265.69,        5309080.21,        4629738.18,        4225331.71,        3490443.49,        2933842.08,        2739943.02,        2711779.49,        2522901.05,        2348112.27,        2300778.53,        2273394.79,        2090225.62,        1697362.57,        1045609.89,         915017.98,         619707.76,         625127.91,         533064.02,         413500.46
,World,Capital goods,Import,Import(US$ Mil),        2007302.94,        2051758.56,        1907684.74,        1733217.37,        1660080.78,        1852997.42,        1794348.38,        1738495.02,        1858827.92,        1607805.95,        1355777.94,        1889510.97,        1721983.77,        1497040.02,        1304507.03,        1207487.17,         989358.41,         836426.51,         829669.49,         859555.14,         806244.79,         740939.48,         663485.53,         634736.93,         580862.16,         465637.60,         295415.20,         256342.23,         180878.53,         171519.36,         136858.79,          88293.52
,World,Consumer goods,Import,Import(US$ Mil),        2537654.80,        2617490.16,        2382901.28,        2181285.04,        2178098.26,        2532626.22,        2518535.72,        2420684.07,        2568261.55,        2172241.75,        1985289.14,        2469601.96,        2150958.79,        1830932.56,        1595701.79,        1437403.62,        1203475.80,         991959.16,         891076.92,         853269.59,         807380.39,         750776.32,         708097.91,         703404.03,         643227.06,         549840.90,         355047.19,         327055.95,         229171.83,         205855.05,         153988.68,         118919.05
,World,Intermediate goods,Import,Import(US$ Mil),        1597462.14,        1659687.26,        1523771.75,        1390286.85,        1365643.80,        1576391.47,        1616010.38,        1555379.70,        1581174.79,        1292871.50,        1081876.64,        1538504.28,        1398212.82,        1146109.45,         961470.97,         880625.66,         715158.30,         600425.68,         570623.23,         562824.09,         536358.69,         522215.75,         500003.52,         500096.11,         505734.99,         400695.01,         226302.62,         211536.09,         148045.77,         155899.09,         132918.51,          92913.70
,World,Raw materials,Import,Import(US$ Mil),         738139.59,         803096.87,         697161.15,         582923.32,         636530.11,         892782.59,         957599.26,         981384.74,         998408.40,         772283.88,         622344.69,         948424.30,         748942.06,         656587.46,         553732.22,         451665.11,         355548.30,         295492.76,         281636.26,         301045.53,         248681.80,         227663.17,         252924.96,         263784.34,         236577.77,         207348.87,         130304.33,         122557.83,          85454.92,          89433.89,          75528.25,          47209.97
,World,All Products,Import,Imports (in US$ Mil),        7078515.20,        7346777.29,        6690090.97,        6038937.28,        5991457.10,        7033078.03,        7071118.49,        6928571.71,        7250956.88,        6099448.39,        5340803.21,        7165331.74,        6303370.41,        5337264.71,        4573125.71,        4164779.62,        3408236.34,        2826288.86,        2688894.57,        2726996.76,        2504927.29,        2321187.47,        2233567.21,        2203266.17,        2038469.57,        1671534.72,        1046478.81,         942742.73,         660324.90,         639257.06,         513520.35,         359395.57
,...,...,Development,"GNI per capita, Atlas method (current US$)",  25203.45,  24375.45,  22814.44,  23337.45,  24659.43,  26021.12,  25996.31,  25300.88,  24988.37,  24520.67,  24325.20,  24563.57,  22553.56,  20834.54,  19223.88,  16579.23,  13640.84,  12070.89,  12149.01,  12554.96,  12475.62,  12594.52,  12978.39,  12738.26,  12016.87,  11531.00,  11344.29,  11524.16,  10454.09,   9847.43,   9170.57,   8588.00
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     84.33,     84.45,     82.65,     79.66,     80.27,     79.65,     79.53,     79.94,     78.98,     74.22,     67.67,     76.38,     74.75,     73.83,     70.10,     67.59,     65.16,     66.00,     68.23,     69.19,     62.70,     61.10,     60.39,     57.21,     56.81,     54.71,     53.51,     57.13,     50.63,     51.85,     52.88,     51.10
,...,...,Development,Trade Balance (% of GDP),      3.26,      3.41,      3.16,      3.26,      3.53,      3.20,      2.94,      2.65,      1.82,      1.75,      1.85,      1.51,      1.62,      1.84,      2.06,      2.20,      1.97,      2.28,      1.96,      1.91,      1.86,      1.35,      1.38,      1.27,      1.26,      1.31,      1.20,      0.95,     -0.09,     -0.59,     -0.74,     -0.53
,...,...,Development,Trade in services (% of GDP),     24.95,     24.02,     23.33,     22.75,     22.39,     20.67,     19.60,     18.91,     18.18,     17.94,     17.71,     17.78,     17.39,     17.05,     16.61,     15.39,     14.89,     15.30,     15.08,     14.78,     13.41,     12.07,     11.60,     10.88,     10.66,     10.52,     10.75,     10.37,      9.81,      9.93,      9.80,      9.53
,Belgium-Luxembourg,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,      6.67,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,      9.01,      8.66,      8.77,      8.85,      8.76,      8.16,      7.67,      7.66,      7.78,      8.30,      7.38,      6.75,      6.46,      5.75,      5.35,,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,      6.75,      6.77,      6.91,      7.02,      6.90,      7.02,      7.08,      7.19,      7.64,      7.77,      8.33,      7.85,      7.98,      8.32,      8.51,      8.65,      8.82,      8.68,      8.89,      9.07,      9.17,      8.27,      7.98,      8.32,      8.78,      8.89,     10.21,     11.24,     12.51,     12.45,     12.19,     11.78
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.26,      5.29,      5.39,      5.52,      5.62,      5.70,      5.59,      5.55,      5.64,      5.90,      6.29,      6.09,      6.46,      6.70,      6.95,      7.47,      7.81,      7.81,      7.81,      7.77,      8.41,      8.09,      7.93,      7.97,      8.31,      8.38,      9.53,     10.30,     11.62,     10.97,     10.72,     11.18
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,     12.22,     12.38,     12.22,     12.31,     12.07,     12.08,     11.70,     11.75,     12.03,     12.08,     12.33,     12.07,     12.08,     12.40,     12.39,     12.72,     12.93,     12.79,     13.32,     13.27,     13.48,     13.37,     13.10,     13.50,     14.41,     14.10,     11.45,     11.07,      6.84,,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,     12.83,     13.26,     13.42,     13.63,     13.45,     13.17,     12.94,     12.76,     13.32,     13.57,     13.92,     14.03,     14.64,     14.29,     14.65,     15.10,     15.10,     14.79,     14.23,     13.76,     14.60,     14.52,     14.11,     14.49,     15.32,     14.82,     11.98,     11.93,      8.46,      9.69,      9.79,      7.80
,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,      5.52,      5.75,      6.03,      5.87,      6.02,      6.01,      6.14,      6.23,      6.08,      6.01,      6.01,      5.94,      5.91,      5.81,      5.69,      6.02,      5.98,      6.14,      7.97,      8.65,      8.79,      8.73,      8.59
,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,      5.29,,,      5.57,      5.74,      5.69,,,      6.07,      6.51,      6.47,      6.75,      6.75,      6.68,      6.72,      7.89,      9.00,      9.19,      8.79,      9.20
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,      4.96,      5.10,      4.89,      4.81,      4.91,      5.34,      5.37,      5.63,      5.41,,,,,,,,,,,,,,,,,,,,      6.87,      6.81,      6.74,      7.51
,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.47,      5.60,      5.57,      5.55,      5.55,      5.85,      5.89,      5.66,      5.62,      5.55,      5.56,      5.44,      5.61,      5.63,      5.74,      5.74,      5.69,,      5.66,      5.99,,,,,,,,,      7.43,      7.41,      7.29,      8.56
,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,      5.04,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,      5.75,      5.61,      5.89,      6.51,      6.16,      5.97,      5.78,      6.07,      5.70,      5.94,      6.19,      6.39,      6.77,      6.81,      7.11,      7.49,      7.64,      8.02,      8.00,      7.86,      7.81,      7.48,      7.53,      7.26,      7.45,      7.61,      7.77,      8.66,      7.79,      8.65,      9.31,      9.48
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,      5.93,      6.23,      6.44,      6.51,      6.43,      6.50,      6.46,      6.44,      6.34,      6.28,      7.92,,,,      6.73
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,      7.74,      7.16,      7.05,      7.35,      7.34,      6.37,      5.96,      6.16,      5.91,      6.11,      6.13,      6.02,      6.47,      7.17,      7.51,      7.70,      8.18,      8.80,      8.75,      8.88,      8.32,      8.04,      7.38,      6.82,      6.66,      7.36,      7.44,,,      6.91,      7.22,      7.93
