Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17302.74,          22226.21,          22118.51,          21907.56,          24511.21,          27860.49,          30285.47,          29437.10,          30316.66,          22369.35,          24005.54,          19169.37,          16294.72,          12861.51,          11862.03,          12221.62,          10909.63,           9285.12,           7372.55,           7473.28,,,,,,,,,            246.97,            192.33,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,          17232.58,,,,,,,,           8105.53,,,,,,,,,,           2811.36,,,,,,,,
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,           4104.19,,           5704.66,           9600.41,           6900.32,           7018.33,,,,
,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,           3875.51,           6627.13,,,,           1647.13,           2285.26,,,,
,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          10803.56,,,,,,,,,,,,,,,,,,,,,,           1784.03,           2497.02,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,          20380.82,          19072.76,,,          12094.04,          11627.46,          11215.91,          11104.06,           9916.65,           8882.94,           6883.57,           7528.50,           6741.46,           4535.83,           3377.53,           3080.72,           4948.40,           3594.17,           2266.08,           2044.60,           1756.57,             63.47,             68.56,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           6005.03,           5188.04,           5096.68,           4763.34,           4502.18,           5288.04,           5397.81,           5196.30,           4381.81,           2913.22,           2165.96,           2091.04,            144.26,            159.08,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          12460.22,          15944.97,          17868.45,          14643.14,          12807.96,,          23411.97,          41804.92,          58304.25,          50540.83,          32683.30,          52127.80,          49823.06,          38539.67,          10841.03,           8961.32,          16907.68,          11225.99,          13733.61,          17052.44,          10412.97,           8223.43,           9480.88,           9630.98,           3365.64,           3137.88,           3852.35,           1654.22,            113.68,            100.33,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          16406.54,          17642.24,          16776.70,          17090.07,          19016.70,          19949.73,          18199.28,          20574.33,          26539.14,          21066.45,          13217.40,          13668.23,          15870.92,          11481.45,           7289.43,           6240.75,           7774.64,           5870.43,           6086.03,           5245.73,           5426.41,           5811.88,           6128.89,           5712.09,           4201.52,           2676.07,           2561.39,           2678.28,,,,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,           3909.23,,,,,,,,,,,,
